,tweet
0,The only thing I got from college is a caffeine addiction
1,I love it when professor draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either
2,Remember the hundred email from company when Covid started getting real I’ve gotten three in regard to support for protest And only shared helpful link and actually said black life matter we love capitalism 🥰🙌🏼
3,Today my pop pop told me I wa not forced to go to college 🙃 okay sure sureeee
4,I did too and I also reported Cancun Cruz not worrying about the heartbeat of his constituent without electricity or heat when he fled to Mexico
5,I choose to interpret it a XD the universal emoticon for laughing at those poor poor folk in Ubisoft's marketing department who have to deal with that branding until the server quietly shut down 8 month after launch
6,Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding
7,someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hour and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn
8,Loving season 4 of trump doe America Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020
9,Holly Arnold Who #ImACeleb #MBE nope not sure oh hang on you mean MBE yes that’s her
10,ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED CRUSHED I TELL YOU
11,See Brexit is going well
12,Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy Slow the fuck down
13,do i just blast maneskin to get hyped for my osce or
14,Yes because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throat for the past four month I use the internet to get away from these fucking real life problem not everyone need to weigh in
15,I never thought I'd say this but I have become one of those people who like bounty bar
16,My eldest is having a wild Friday night out She's going to bingo 😂
17,Whoever’s toddler as sprayed the entire toilet backstage I hope you stub your toe and bite your tongue really hard also you were clearly dehydrated go drink some damn water like an adult
18,gaslight gatekeep girl bos
19,I wa only in Taylor Swift’s top 0 10% of listener on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out
20,Imagine going to university for 4 year when you could just follow Elon Musk on twitter for free
21,Not got one lynx Africa for Christmas Day this year shocked and outraged #RuinedChristmas
22,The villain in super hero film are awfully polite They always confine their invasion to being above one particular city
23,Oh my goodness It’s the first week of the summer holiday and Harrison ha found his recorder Give Me Strength
24,imagine your delivery being 2 hour late and imagine calling up your service team only for them to hang up at 10pm coincidentally the same time the office close But it’s okay my £3 delivery fee is being refunded though 👊🏻
25,team is down what a shame I can’t do my assignment 👉🏽👈🏽
26,Well I doubt they're trying to smash the door in to change the regulation of cough medicine
27,Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping
28,Not telling anyone how I voted in case it doesn't come true #EUref
29,just wondering how to get my dis down by 1500 word such fun
30,It’s been a blissful 2 5 hour of sleep tonight
31,Falling asleep at your laptop is always fun
32,Trying to know all this history tonight is gonna kill me
33,love it when Jonny make me use earphone to watch something on my phone so he can play fifa
34,Nice to be compared to a brick wall 😂
35,Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%
36,if 2020 wa a nose it’d be mine 🐦
37,Would anyone like to give me some money #FinDom
38,Got very excited that my national trust card arrived I am officially a grandma
39,Vaccinated this morning Not sure it's worked still committed to Apple and no extra autism detected Bloody science
40,ITS COMING HOOOOOME
41,i wish i could tap in to the government bank account🙄🙄🙄
42,90% of adulthood is just refilling your Brita pitcher
43,I suppose though we did sign one for the future so you know not all gloom and doom we might be good in 6 year time
44,Where is the Chancellor Please check the back of your sofa
45,i have been informed that a aroace and agender i have triple visibility and am now visible from space
46,going to be running on three hour of sleep at work tonight so excited
47,Does he order 11 at once and drink each one at just over 5 minute OR do we have to take into account going to the bar Either way it’s a disgrace and not what we should be promoting to the kid
48,i’m now reading 4 book at once what could go wrong 🧡
49,I think lunch wa ready at the care home then it wa time for nap and then Countdown
50,Very good Just need to work on your spelling now 👍
51,July 1st Half way point of the year Well I think we can all agree that 2020 ha gone swimmingly so far Can’t wait for part 2 #murderhornets
52,Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan That’s not okay but people can be abusive and racist and nothing Okay 🤣🙄
53,I just absolutely LOVE how I've got to work outside for the next 3 day in the heatwave #sweatingmyballsoff
54,Defrost the freezer with the cast of Hollyoaks Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jar Magic
55,So very delayed flight from Bristol to Edinburgh trademark vagueness from staff with a chronic lack of empathy to boot despite me travelling with three young child now time to feed our family with £3 voucher at airport price #bollocks
56,we need to normalise having absolutely fried bleach damaged hair people should talk about this
57,Wizkid is the king ok lol
58,Ah yes it really is wood burning stove in sub Saharan Africa thats driving the climate crisis 🧠
59,Started watching house of card 4 episode in Already I can see it wa a good choice😄
60,Social Care for the young is basically a bath board and bed rest and your done
61,Very nice We're now briefly up to date Hopefully doesn't take you so long to do the English release of the new pixie after we get 9 10
62,JUSTICE HAS BEEN DONE
63,What a Race #sarcastic #WTF1
64,help i'm being haunted by dead people my dissertation
65,my neighbor taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back to back zoom all day every day the audacity is astonishing
66,I've been doing physic for 40 minute I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate
67,Billy Gunn sorta relevant for the first time in year
68,wish i could understand string theory without knowing math ala i guess i am too hot for conceptual physic
69,So we actually have to do hot girl summer without 1989 Taylor’s version I’m sick
70,🌶 Spiced Coconut curry 🥥 A weekend spent with friend brings a week of content or something like that 😜 Started the weekend off with this yummy morsel With wa a fusion of miso sesame aubergine 🍆 broccoli
71,considering crowd surfing the next time the hallway are too packed
72,Avoid mass gathering doe this mean that I can stay home tomorrow a I work at a school No I thought not #schoolclosure
73,You know the wolf match is boring when you're talking with your mate about the best way to wire up his new shed
74,What a wonderful time to have your AC go out
75,Riveting news
76,My extended fam wa discussing going on a trip instead of getting present for Christmas like okay I’m bout it Yeah they were talking about doing to the dell I’ll take my god damn present thank you very much
77,okay but like the say so song ain’t that bad I’m unironically jam to it lmao
78,if you see me cry in the self service car wash in my rosati’s uniform no you didn’t ❤️
79,Tinnitus is my favourite thing ever I love it So loud so atmospheric
80,thanks for ratting my location out on stream and then embarrassing me 😂 it made my day though
81,love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it mean i’ll get a few day off from work xoxo
82,i love ingesting poison and then wondering why my tummy is rumbling the next morning
83,Beautician and the Beast 1997 Best Timothy Dalton film of all time
84,Ahahahaha the Feeya I know and love miss u 😢
85,absolutely love waking up to the fire alarm at 7 am 😍
86,fully vaxxed feeling very girlboss
87,I feel like with the pandemic and all we should now be allowed to publicly shame baby for just like coughing into the open air you know what I mean
88,Let me guess it ha to be Charlotte Tilbury makeup And if by chance you do take it off use Charlotte Tilbury skincare
89,The typhoon flew over me today absolutely fuming they forgot to bomb me
90,love getting assignment at 6 25pm on a Friday
91,Raging debate on the importance of an Orlando Magic Summer League Championship Definitely a notch below 6 if decided by coin flip
92,hot loli
93,Between Mikey cooking and Didi cooking for me I relaxing 😎 cooking I don’t know her
94,Ah gotta love that Friday morning burnt out feeling 🌄
95,Her family should definitely not seek mental health guidance 😬
96,How I flirt with boy Boy Hey I saw you from across the room and had to come over Me Wow you’re super observant Do you have 20 20 vision
97,Been trying to get my boyfriend attention Let’s see how long it take for him to see this tweet tho
98,My work email isn’t working so I can just log off for the day right 🙄
99,watching olympic woman beach volleyball for the plot
100,there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed 😑
101,cold ear take out one AirPod leave it by the stove and forget about it for 20 minute 🤗
102,Do the #Hokies really have to play 5 against 6 tonight Come on stripe
103,Fool me once shame on you Fool me twice shame on me Fool me multiple time I must have become a brexiter #Brexit
104,Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year or they might have no chance of winning the league #ncfc
105,how do I get my boyfriend in a maid costume
106,If only he had a press Corp in the house oh wait Shut up Jr Time to get fitted for those lovely orange jumpsuit If you can't be orange anymore at least you can wear it
107,Wtf is a Justin Herbert
108,He's not welcome in a tolerant place like London on the Presidential visit on The irony in that comment #r4bh
109,I love it when drunk inconsiderate flatmate come back and start climbing on the roof #istillhaveexams #tryingtosleep
110,thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life
111,2 busy working 2 care
112,Update they’ve finally closed the campus which mean I wasted my day going in and waiting on lecture 🙃
113,STOP TREATING MARS LIKE A BACK UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE
114,I just don’t think it’s too much to have a perfect life with absolutely no problem 🤷🏻‍♀️
115,The control button just fell off my laptop How symbolic for my life
116,make it illegal to say write Dems in disarray on account of it being stupid a fuck
117,a level tudor history can do one
118,Can't wait until I live to be 110 year old and I have people asking me how I've lived for such a long time so that I can make up some hyper specific secret to longevity that people will inevitably follow
119,ugh I have to send an email how about I just quit
120,Day 3 Luggage arrived thanks Non random Hungarian underwear Talk delivered Science sated #metaxa http t co 6KPjLezQOF
121,went to check out the bios of the exclusively hipster dude that work in a rival boutique good store and found out they all traveled internationally during the pandemic 🙃🙃🙃
122,So in other news I just held the door open for Bam Adebayo &amp then I fell down the stair &amp I think I broke my finger ya I'm THAT smooth
123,I can't believe today is the last day we can be gay
124,did you actually fly on a plane if you didn’t post a picture of the view from your window
125,Seeing a Kanye West ha a range of clothing with Gap how about me and you do a collab
126,i love jumping on zoom meeting where everyone is talking about their kid &amp i'm stuffing my face with taco bell
127,it’s always the girl I don’t even know that wanna talk about me 24 7 I love my fan
128,thx for the play by play
129,who think me and sam should start a band called 'teeth at midnight' 🦷🌙
130,omg there’s a sheet of ice in front of my school should I slip and fall
131,I wish that grilled cheese helped you get that summer bod
132,I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is not making fun of someone’s appearance The more you know guy
133,Finally someone is speaking up for the billionaire
134,Hasn't he opened a few new hospital Oh sorry maybe it wa a new first aid box
135,yeah your girl is fine but doe she pas out while giving blood
136,I recovered a repressed memory today of working at in high school 13 year ago &amp having to answer the phone a we go all out at Kum &amp Go this is Shelby How can I help you And the prank call that led to Pretty sure K&amp G owe me therapy
137,Accidentally made a friend in ASL today I hate when that happens
138,Few link for you To summarise wearing face mask seems to be more effective than not Who'da thunk
139,Kind of rude of my stomach to still make whale noise after I’ve given it a whole protein bar
140,Because of #Trump I now don't have to worry about other country making fun of me for being fat 🍩🍫🍰🍕 #Thankstotrump #America
141,Overthinking everything in life really take a toll on you
142,Man I just love it when I'm forced to pitch two game back to back bc our other pitcher didn't show up
143,I’ve seen a lot of people on local Facebook group asking AirBnB owner if they have any availability recently If only there wa a website you could use to find out if an AirBnB wa available 🤔
144,But what were the rating Replied to his Tweet with the same thing
145,dont you love it when youre just chilling in your room and then there a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too
146,I think it should be allowed for customer service worker to squirt water into their face like how they do sometimes to train pet
147,Taxes are just the best and I cannot wait to pay more 😇🥰🥺
148,Goodness my parent are actually watching something on Apple TV brilliant yet another streaming service 😪
149,alright I’m ready for some march madness🏀🔥
150,I still can’t believe England won the World Cup
151,dont u just love when u get ready for a cancelled date two hour early yeah i wasnt excited or anything
152,wouldn’t it be cool if i could spontaneously combust
153,Efy is great
154,you’re trash
155,cold queso is so much better than warm queso
156,Wow it's almost a if it's their literal job to have a lot of knowledge about a wide array of subject Funny that
157,It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1 7 3 7 cause my holiday year start on 1 7 and I would have to use a day of this year holiday allowance to go I should have been consulted really 😵‍💫😵‍💫😵‍💫
158,are you experiencing suicidal or homicidal ideation only while trying to talk to a human when I call pharmacy
159,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40
160,I’m sorry but if you message me on Instagram wanting me to help you sell your fit tea and wrap I’m leaving you on read 🙃
161,wow i love only ever buying gray and striped shirt
162,no more instagram we must all return to scrapbook
163,Thank you twitter for deciding to completely reset your list of the suggested topic to follow I've clicked to ignore all of them so now I'm back to seeing hundred of them every time Really appreciate you doing that
164,Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face
165,I hurt my foot like 3 day ago I have no idea how but it hurt to put pressure on it Love that for me
166,me trying to sleep slightly earlier than usual bc I feel like shit my friend texting the group chat 13 separate time at nearly 4am hello I don’t think so how abt I tell u abt how bad thing are going instead
167,Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hour It’s definitely not super obnoxious or bothersome ☺️☺️
168,5 30 banshee like kitten zoomies are definitely my all time favorite alarm clock and the sound of jewelry box flipping over and burnouts on the wood floor make for the calmest most enjoyable start to any workday
169,Sometimes I feel like all this effort is just like sticking diamond encrusted alloy on a knackered Corsa I mean shit is what it is at the end of the day
170,a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more
171,Hey Siri how do I stop simping
172,we love mixed signals🙄
173,Hey doe anyone know of any organization that have massive stockpile of money that could be super useful to the world during a public crisis
174,Wow Bdubs can bench press 150 kilometer
175,Nothing scream I’m a glamorous cosmopolitan woman like following your dog down the street in the midst of winter saying go potty Go POTTY over and over again
176,Heard a rumor that Baja Blast is coming to store and regardless if anything else I hope for in life fall through at least I'll have this
177,Reviewer 2 this is a very weak paper that fails proof of concept Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this
178,A wrong impression is once again my specialty
179,if tree would simply stop producing flammable leaf climate change would not be an issue
180,haven’t written in month cuz there are no male teacher to impress 😣
181,hey quick question is it fall or spring
182,when the toilet seat is warmed up for you&gt &gt &gt
183,Nice
184,me and noah forgot that today is our anniversary if that isn’t couple goal then idk what is 😌
185,I can’t wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea
186,Hey what's the weather like today Am I going to need an umbrella
187,trying to figure out how to use notion for my anime list I think i’m dying
188,Do you think anyone on Bachelor in Paradise ha seen Oscar winner Parasite
189,your pronoun are what's in your pant ok juicy dumper
190,It’s so amazing how people forget you exist until they want something from you
191,2 thing I love 1 Being woken up by construction work an hour before my alarm 2 Sarcasm
192,How bout you dont use a gazillion filter on your picture
193,finished the queen's gambit i loved a look into the 1960s in the american south with no racism just vibe
194,Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day
195,Nah bruh you just drinking it upside down 😂
196,Easily one of the worst and most damaging take for both trans AND ci woman I have seen thus far Congrats on reaching new level of awful lmao
197,I thing you might be on to somethink 🙄
198,Here come the final of the UK #DailyBriefing who will win Johnson or Covid
199,You're not a normal white girl lol ok
200,Great time for sim and I to have our weekly life update 🌛🌜🐨 closest thing to an owl 💤💤💤💤💤😴
201,I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop
202,You've a book out I hadn't realised Yes you've already read this 8763 time this week but hey
203,Hahahah is shutting down the entire campus for quarantine Couldn’t happen to a nicer group of Covid denier #CovidIsNotOver #karmaisabitch #Covid 19
204,Brother's off on a night out and I've gone to bed co I feel exhausted and sick excellent 👍🏻
205,The App Store [is an economic miracle 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifle innovation that is the lifeblood of our economy Lucy McBath speaking some truth today #HouseJudiciary
206,I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is
207,In sunny spain at the moment Hows it all in england
208,my super power is always biting into the sour cream side of the burrito no matter what
209,if you display your pop funkos in the box then you’re a tory
210,#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️
