id,tweet,sarcastic,rephrase,dialect
1,احلى اشي بالدنيا تكون بعلاقة و تحس انك وحيد,1,اسوأ اشي بالدنيا انه تكون بعلاقة و تحس بالوحدة,levant
2,ويندوز احسن نظام تشغيل بالدنيا,1,ويندوز نظام تشغيل سيء,levant
3,الامور منيحة و النفسية اعلى من هيك فش,1,الامور سيئة جدا و مش منيحة,levant
4,شركة فيسبوك اكثر شركة بهتموا بالخصوصية,1,شركة فيسبوك لا تحترم الخصوصية,levant
5,الجهاز هون كثير ممتاز و ما بعلق ابدا، صرلي ساعة بستنى,1,الجهاز كثير بطيء و بعلق طول الوقت,levant
6,ده ميعرفش اي بتنجان خالص,1,ده جاهل,nile
7,الواد الفتك فاكرني عبيط و هصدقه,1,الواد غبي,nile
8,ده فاكر نفسه عبد الحليم حافظ,1,ده صوته وحش ,nile
9,تحسه انسان عايش لوحده.. مش حاسس ب اللى حواليه ,1,انسان انانى ,nile
10,الاسعار نار .. الله ينور يا سيسي,1, الاسعار نار منك لله يا سيسي يا فاشل,nile
11,الناس خايفة من كورونا والاذكيا مش عايزين ياخدوا اللقاح,1,الناس اغبياء,nile
12,الف مبروك الانتصار لفريقنا الزمالك، مدرب الفريق المنافس ىدلي بتصريحات سلبيه 	,1,مدرب الفريق المنافس حزين,nile
13,ده عاملى فيها ابو العريف,1,ده غبى,nile
14,الحكم مدي 3 سنين وقت بدل ضايع,1,الحكم عطى وقت بدل ضايع كبير اوي,nile
15,فاكره انه مفيش منها اتنين وبتعرف المستخبى ,1,حاسه نفسها متكررش ,nile
16,النادي دا ده أصيل بجد..الدنيا حواليه بتتغير وهو موقفه ثابت مابيتغيرش,1, النادي دا فاشل ,nile
17,الف مبروك الانتصار لفريق نادي الزمالك، مدرب الفريق الثاني المهزوم يعلق علي التحكيم	,1,مدرب الفريق الثاني حزين علي ضياع البطوله,nile
18,كل غربال وليه شده وكل الافعال لها حماس,1,كل شىء اوله حماس وشديد ,nile
19,صاحبك الحقيقي هو اللي تقوله يا حمار يقولك نعم,1,صاحبك أصيل,nile
20,زي ما رحتي زي ما جيتي,1,يعني عملك للشىء مثل عدم عمله ولا فائدة منه,nile
21,حاضر ماشي هتجوز بكرة خطوبة وبعد بكرة هتجوز,1,حاض هتجوز بسرعة,nile
22,الاهلى والزمالك دايما يناقروا فى بعض ناقر ونقير,1,الاهلى والزمالك فريقان منافسان دائما,nile
23,مالك اصاحبي مسخر القايد 😗,1,مالك زربان 😗,magreb
24,انت لا محصل رونالدو ولا ميسي,1,انت مبتعرفش تلعب,nile
25,يعني ايه عشان ادخل كلية طب لازم اجيب 99% ليه ياعم الحج هوا انت فاكرني ديتول,1,انت فاكرني خارق,nile
26,عاش يا وحش فاضلك 50 سنة وتبقى ارنولد شوازنجر,1,انت ياض مفكش حاجة وعمرك ما هتربي عضلات روح موت احسنلك,nile
27,ماتاكلش دماغي أنا مش ناقص,1,بلاش إزعاج,nile
28,الي يتلسع م الشوربه ينفخ في الزبادي,1,الي يقع في غلط ميكرروش,nile
29,انت مفيش منك اتنين ولا يمكن يكون ,1,مفيش حد احسن منك ,nile
30,انتا عايش في الالالاند ولا ايه,1,مش فاهم حاجة,nile
31,شوفى مقموصه ازاى فاكره نفسها حاجه قال ,1,شوفى بتحب نفسها اوى ومغروره ازاى ,nile
32,هوا ينفع المية ترجع لمجاريها يا حج . ينفع بس هترجع وسخه,1,انت معفن كده كده مستحيل تنضف,nile
33,جا اشمو و هو ياكلو 😄,1,بغا يعاون صدق مخسرها,magreb
34,الاهلى  ملك الكوره فى مصر  ولا يوجد نادى افضل منه,1,الاهلى احسن نادى فى مصر,nile
35,انا استحق جائزة الاوسكار في المذاكرة دا انا بذاكر ساعة في الشهر,1,انا مش بذاكر خالص,nile
36,سخرية المصريين من الصاروخ الصيني يا رب يقع في سد إثيوبيا,1,يارب اثيوبيا تنفجر بصاروخ,nile
37,واحد غفير عامل عيد ميلاد لابنه حط في التورتة 20 شومة,1,ارجل ياض احنا مش بتوع عيد ميلاد ,nile
38,بسم الله أذكي اخواتك والله,1,أغبي الناس,nile
39,بيقولك موجة كورونا الجاية بقت معوية يعني هنلبس بدل الكمامة بامبرز,1,اسهال وقرف وترجيع الحق هات بامبرز,nile
40,استحي ده حتي عبد الناصر ما سواها,1,استحي لان جمال عبد الناصر لم يفعل مثلك في فشلك,nile
41,كل شيخ وليه طريقه وكل معجن وليه كيال ,1,كل انسان يعرف مصلحته فين وازاى يجيبها ,nile
42,بحب كل شىء ييجى براحته وعلى  مهله اوى ,1,بحب كل شىء اخده بالهداوه ومن غير سربعه,nile
43,ساصدق قزانة الدشرة و مانامنش اتصالات الجزائر استغفر الله العظيم ,1,أتصالات الجزائر كادبين ,magreb
44,قصقصي ريش طيرك قبل ما يلوف على غيرك,1,خلي بالك من الي الناس الي معاكي وبتحبيهم,nile
45,أسوء أكل بعد أكل مال اليتيم ,1,مداق سيئ ,magreb
46,دا سايق بسرعة جدا فاكر نفسه طيار,1,سريع جدا ,nile
47,اكبر خطر يهدد الانسان في هذه الدنيا هو الانسان ,1,ان الناس خطر علي بعضهم ,nile
48,اللي يقولها جوزها يا عورة الناس يلعبو بيها الكورة,1,الي يتريق على مراته الناس هيتريقو عليها اكتر منه,nile
49,انت متعرفش مصلحتك فين ولازم تبقى فاهم كويس,1,لازم تعرف تتصرف ازاى وتعرف المصلحه فين ,nile
50,بعد علاقة غير شرعية دامة عشرين سنة أمريكا تطلق أفغانستان بثلاث ,1,أستقلال أفغانستان ,msa
51,واحدة بتقول لجوزها بص بقا انا نفسي انهردة تخلي صوتي الكل يسمعه قالها روحي وانتي طالق,1,عاوزاك تخليني اصرخ والناس كلها تسمعني,nile
52,روحى الهى وانت جاى يصدمك تورماى ,1,ادعى عليك بايه الهى ما يدوسك تورماى ,nile
53,تاكى وجع فى بطنه وركبك يا واطيه يا زباله ,1,الهى يجيلك المغص الاوى يا معفنه يا واطيه ,nile
54,بحبها وفى قلبى ساكن حبها ياريت يا شوق توصلها ,1,بحبها وفى قلبى موجود حبها بتمنى يا حب توصلها ,nile
55,واحد خبط على جدته فسألت مين عالباب قالها أنا حفيدك ردت عليه قالتله بإيه هتفيدني,1,وايه اللي هيفدني من حفيدي,nile
56,تحت المكباج الخادع يوجد قمرا ساطع او نوع من انواع الضفادع ,1,المكياج يخفي القباحه ,nile
57,طالما البرص مشفش الشبشب هيفضل فاكر نفسه تمساح,1,اوعا يغرك جسمك,nile
58,هتعرفو تعالجو مو صلاح ولا ناخد ابننا نعالجه عندنا في القصر العيني,1,تعالي يا فخر العرب اتعالج عندنا في القصر العيني,nile
59,البنت لما يحكولها ليه حطه مكياج كتير تقول ده جمالي طبيعي ,1,يسخر من قباحه والمكياج ,gulf
60,الي خدته القرعة تاخده ام الشعور والقرعة شعرها راح,1,ان التانيه هتلاقي نفس مصير الاولى الي كانت حلوة وجميله وزوجها طفاها,nile
61,محمد صلاح يرفض ضرب الكرة حتى لايؤلمها الله على اخلاقك يافخر العرب,1,محمد صلاح يرفض ضرب الكرة,msa
62,خساره الاهلي للدوري يعتبر غباء وخذلان ثقه الجماهير,1,خساره الاهلي للدوري مسخره ,nile
63,الهدية بالنسبة لمراتك زي الصدقة تمنع عنك الاذي,1,اشتري لمراتك اي حاجه احسن ليلتك تبقي سودا,nile
64,الراجل دائما متبع للشهوات والنساء,1,الراجل حقير ,nile
65,خساره الاهلي كانت مهزله بين الدول والناس,1,خساره الاهلي غباء,nile
