tweet,sarcastic
the only thing i get from college be a caffeine addiction,1
i love it when professor draw a big question mark next to my answer on an exam because im always like yeah i dont either,1
remember the hundred email from company when covid start get real ive gotten three in regard to support for protest and only share helpful link and actually say black life matter we love capitalism 🥰🙌🏼,1
today my pop pop tell me i be not force to go to college 🙃 okay sure sureeee,1
i do too and i also report cancun cruz not worry about the heartbeat of his constituent without electricity or heat when he flee to mexico,1
i choose to interpret it a xd the universal emoticon for laugh at those poor poor folk in ubisofts marketing department who have to deal with that brand until the server quietly shut down 8 month after launch,1
why would alexas recipe for yorkshire pudding be a bhaji yorkshire pudding,1
someone hit me w a horse tranquilizer istg ive be in a pool of sweat for 6 hour and i havent sleep im so tired but i love my friend so much and oh my fucking god i cant rn,1
love season 4 of trump do america funny season yet #donaldtrump #trump #maga #maga2020,1
holly arnold who #imaceleb #mbe nope not sure oh hang on you mean mbe yes thats her,1
any pensioner and 4 year old who dare take me on at dinosaur theme crazy golf will be crush crushed i tell you,1
see brexit be go well,1
just like to congratulate everyone on the kop today for the fast ever poor scouser tommy slow the fuck down,1
do i just blast maneskin to get hype for my osce or,1
yes because we need literally every single fucking celebrity to speak up on a topic thats be force down everyones throat for the past four month i use the internet to get away from these fuck real life problem not everyone need to weigh in,1
i never think id say this but i have become one of those people who like bounty bar,1
my eldest be have a wild friday night out shes go to bingo 😂,1
whoevers toddler as spray the entire toilet backstage i hope you stub your toe and bite your tongue really hard also you be clearly dehydrate go drink some damn water like an adult,1
gaslight gatekeep girl bos,1
i be only in taylor swift top 0 10% of listener on spotify but last year but yeah totally sound that swiftogeddan in glasgow be sell out,1
imagine go to university for 4 year when you could just follow elon musk on twitter for free,1
not get one lynx africa for christmas day this year shock and outrage #ruinedchristmas,1
the villain in super hero film be awfully polite they always confine their invasion to be above one particular city,1
oh my goodness it the first week of the summer holiday and harrison have find his recorder give me strength,1
imagine your delivery be 2 hour late and imagine call up your service team only for them to hang up at 10pm coincidentally the same time the office close but it okay my £3 delivery fee be be refund though 👊🏻,1
team be down what a shame i cant do my assignment 👉🏽👈🏽,1
well i doubt theyre try to smash the door in to change the regulation of cough medicine,1
not at all concern that a man just be round to fiddle with the boiler and now hes leave the carbon monoxide alarm wont stop beeping,1
not tell anyone how i vote in case it doesnt come true #euref,1
just wonder how to get my diss down by 1500 word such fun,1
it be a blissful 2 5 hour of sleep tonight,1
fall asleep at your laptop be always fun,1
try to know all this history tonight be gonna kill me,1
love it when jonny make me use earphone to watch something on my phone so he can play fifa,1
nice to be compare to a brick wall 😂,1
blizzard will have to make sure it doesnt exceed the recommended fun level of 10%,1
if 2020 be a nose itd be mine 🐦,1
would anyone like to give me some money #findom,1
get very excited that my national trust card arrive i be officially a grandma,1
vaccinate this morning not sure it work still commit to apple and no extra autism detect bloody science,1
it come hooooome,1
i wish i could tap in to the government bank account🙄🙄🙄,1
90% of adulthood be just refill your brita pitcher,1
i suppose though we do sign one for the future so you know not all gloom and doom we might be good in 6 year time,1
where be the chancellor please check the back of your sofa,1
i have be inform that a aroace and agender i have triple visibility and be now visible from space,1
go to be run on three hour of sleep at work tonight so excited,1
do he order 11 at once and drink each one at just over 5 minute or do we have to take into account go to the bar either way it a disgrace and not what we should be promote to the kid,1
im now read 4 book at once what could go wrong 🧡,1
i think lunch be ready at the care home then it be time for nap and then countdown,1
very good just need to work on your spelling now 👍,1
july 1st half way point of the year well i think we can all agree that 2020 have go swimmingly so far cant wait for part 2 #murderhornets,1
get lock out of twitter for say it embarrassing to be an arsenal fan thats not okay but people can be abusive and racist and nothing okay 🤣🙄,1
i just absolutely love how ive get to work outside for the next 3 day in the heatwave #sweatingmyballsoff,1
defrost the freezer with the cast of hollyoaks any of them that want an extra fun trip could pop to the recycle centre with some empty pesto jar magic,1
so very delayed flight from bristol to edinburgh trademark vagueness from staff with a chronic lack of empathy to boot despite me travel with three young child now time to fee our family with £3 voucher at airport price #bollocks,1
we need to normalise have absolutely fry bleach damage hair people should talk about this,1
wizkid be the king ok lol,1
ah yes it really be wood burn stove in sub saharan africa thats drive the climate crisis 🧠,1
start watch house of card 4 episode in already i can see it be a good choice😄,1
social care for the young be basically a bath board and bed rest and your do,1
very nice be now briefly up to date hopefully doesnt take you so long to do the english release of the new pixie after we get 9 10,1
justice have be do,1
what a race #sarcastic #wtf1,1
help im be haunt by dead people my dissertation,1
my neighbor taunt me outside my office window by chill in their hot tub every remotely warm day whilst i sit here on back to back zoom all day every day the audacity be astonish,1
ive be do physic for 40 minute i think i deserve a break 😂😂😂😭 im never go to get it all do at this rate,1
billy gunn sorta relevant for the first time in year,1
wish i could understand string theory without know math ala i guess i be too hot for conceptual physic,1
so we actually have to do hot girl summer without 1989 taylor version im sick,1
🌶 spice coconut curry 🥥 a weekend spend with friend brings a week of content or something like that 😜 start the weekend off with this yummy morsel with be a fusion of miso sesame aubergine 🍆 broccoli,1
consider crowd surf the next time the hallway be too packed,1
avoid mass gathering do this mean that i can stay home tomorrow a i work at a school no i think not #schoolclosure,1
you know the wolf match be bore when youre talk with your mate about the best way to wire up his new shed,1
what a wonderful time to have your ac go out,1
rivet news,1
my extend fam be discuss go on a trip instead of get present for christmas like okay im bout it yeah they be talk about do to the dell ill take my god damn present thank you very much,1
okay but like the say so song aint that bad im unironically jam to it lmao,1
if you see me cry in the self service car wash in my rosatis uniform no you didnt ❤️,1
tinnitus be my favourite thing ever i love it so loud so atmospheric,1
thanks for rat my location out on stream and then embarrass me 😂 it make my day though,1
love living in a capitalist society where i look forward to get a surgery where im legit get an internal body part remove bc it mean ill get a few day off from work xoxo,1
i love ingest poison and then wonder why my tummy be rumble the next morning,1
beautician and the beast 1997 best timothy dalton film of all time,1
ahahahaha the feeya i know and love miss u 😢,1
absolutely love wake up to the fire alarm at 7 be 😍,1
fully vaxxed feel very girlboss,1
i feel like with the pandemic and all we should now be allow to publicly shame baby for just like cough into the open air you know what i mean,1
let me guess it have to be charlotte tilbury makeup and if by chance you do take it off use charlotte tilbury skincare,1
the typhoon fly over me today absolutely fume they forget to bomb me,1
love get assignment at 6 25pm on a friday,1
rag debate on the importance of an orlando magic summer league championship definitely a notch below 6 if decide by coin flip,1
hot loli,1
between mikey cooking and didi cooking for me i relax 😎 cooking i dont know her,1
ah gotta love that friday morning burnt out feel 🌄,1
her family should definitely not seek mental health guidance 😬,1
how i flirt with boy boy hey i saw you from across the room and have to come over me wow youre super observant do you have 20 20 vision,1
be try to get my boyfriend attention let see how long it take for him to see this tweet tho,1
my work email isnt work so i can just log off for the day right 🙄,1
watch olympic woman beach volleyball for the plot,1
theres no good way to wake up than have one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed 😑,1
cold ear take out one airpod leave it by the stove and forget about it for 20 minute 🤗,1
do the #hokies really have to play 5 against 6 tonight come on stripe,1
fool me once shame on you fool me twice shame on me fool me multiple time i must have become a brexiter #brexit,1
lucky for 2nd place brentford that theres no stand out team like leeds this year or they might have no chance of win the league #ncfc,1
how do i get my boyfriend in a maid costume,1
if only he have a press corp in the house oh wait shut up jr time to get fit for those lovely orange jumpsuit if you cant be orange anymore at least you can wear it,1
wtf be a justin herbert,1
he not welcome in a tolerant place like london on the presidential visit on the irony in that comment #r4bh,1
i love it when drunk inconsiderate flatmate come back and start climb on the roof #istillhaveexams #tryingtosleep,1
think about quit the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1
2 busy work 2 care,1
update theyve finally close the campus which mean i waste my day go in and wait on lecture 🙃,1
stop treat mar like a back up boyfriend just fix your current relationship with earth because you cant live here,1
i just dont think it too much to have a perfect life with absolutely no problem 🤷🏻‍♀️,1
the control button just fell off my laptop how symbolic for my life,1
make it illegal to say write dems in disarray on account of it be stupid a fuck,1
a level tudor history can do one,1
cant wait until i live to be 110 year old and i have people ask me how ive live for such a long time so that i can make up some hyper specific secret to longevity that people will inevitably follow,1
ugh i have to send an email how about i just quit,1
day 3 luggage arrive thanks non random hungarian underwear talk deliver science sate #metaxa http t co 6kpjlezqof,1
go to check out the bios of the exclusively hipster dude that work in a rival boutique good store and find out they all travel internationally during the pandemic 🙃🙃🙃,1
so in other news i just hold the door open for bam adebayo amp then i fell down the stairs amp i think i break my finger ya im that smooth,1
i cant believe today be the last day we can be gay,1
do you actually fly on a plane if you didnt post a picture of the view from your window,1
see a kanye west have a range of clothing with gap how about me and you do a collab,1
i love jump on zoom meeting where everyone be talk about their kid amp im stuff my face with taco bell,1
it always the girl i dont even know that wanna talk about me 24 7 i love my fan,1
thx for the play by play,1
who think me and sam should start a band call teeth at midnight 🦷🌙,1
omg theres a sheet of ice in front of my school should i slip and fall,1
i wish that grill cheese help you get that summer bod,1
i call out an insta post for fat shaming and be now be tell that make fun of someone have no neck be not make fun of someone appearance the more you know guy,1
finally someone be speak up for the billionaire,1
hasnt he open a few new hospital oh sorry maybe it be a new first aid box,1
yeah your girl be fine but do she pass out while give blood,1
i recover a repressed memory today of work at in high school 13 year ago amp have to answer the phone a we go all out at kum amp go this be shelby how can i help you and the prank call that lead to pretty sure k amp g owe me therapy,1
accidentally make a friend in asl today i hate when that happen,1
few link for you to summarise wear face mask seem to be more effective than not whoda thunk,1
kind of rude of my stomach to still make whale noise after ive give it a whole protein bar,1
because of #trump i now dont have to worry about other country make fun of me for be fat 🍩🍫🍰🍕 #thankstotrump #america,1
overthinking everything in life really take a toll on you,1
man i just love it when im force to pitch two game back to back bc our other pitcher didnt show up,1
ive see a lot of people on local facebook group ask airbnb owner if they have any availability recently if only there be a website you could use to find out if an airbnb be available 🤔,1
but what be the rating reply to his tweet with the same thing,1
dont you love it when youre just chill in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1
i think it should be allow for customer service worker to squirt water into their face like how they do sometimes to train pet,1
tax be just the best and i cannot wait to pay more 😇🥰🥺,1
goodness my parent be actually watch something on apple tv brilliant yet another streaming service 😪,1
alright im ready for some march madness🏀🔥,1
i still cant believe england win the world cup,1
dont u just love when u get ready for a cancelled date two hour early yeah i wasnt excite or anything,1
wouldnt it be cool if i could spontaneously combust,1
efy be great,1
youre trash,1
cold queso be so much good than warm queso,1
wow it almost a if it their literal job to have a lot of knowledge about a wide array of subject funny that,1
it really very selfish of silverstone to be say the 2022 grand prix be 1 7 3 7 cause my holiday year start on 1 7 and i would have to use a day of this year holiday allowance to go i should have be consult really 😵‍💫😵‍💫😵‍💫,1
be you experience suicidal or homicidal ideation only while try to talk to a human when i call pharmacy,1
just get some wd40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #wd40,1
im sorry but if you message me on instagram want me to help you sell your fit tea and wrap im leave you on read 🙃,1
wow i love only ever buy gray and strip shirt,1
no more instagram we must all return to scrapbooks,1
thank you twitter for decide to completely reset your list of the suggested topic to follow ive click to ignore all of them so now im back to see hundred of them every time really appreciate you do that,1
thank god i just accidentally snap a rando guy from high school yas queen with acne cream all over my face,1
i hurt my foot like 3 day ago i have no idea how but it hurt to put pressure on it love that for me,1
me try to sleep slightly early than usual bc i feel like shit my friend texting the group chat 13 separate time at nearly 4am hello i dont think so how abt i tell u abt how bad thing be go instead,1
thank you to my apartment complex for consistently cut the grass at 8 be every thursday for 5 hour it definitely not super obnoxious or bothersome ☺️☺️,1
5 30 banshee like kitten zoomies be definitely my all time favorite alarm clock and the sound of jewelry box flip over and burnouts on the wood floor make for the calm most enjoyable start to any workday,1
sometimes i feel like all this effort be just like stick diamond encrust alloy on a knackered corsa i mean shit be what it be at the end of the day,1
a single man direct by tom ford simultaneously resurrect me from death only to brutally murder me once more,1
hey siri how do i stop simping,1
we love mixed signals🙄,1
hey do anyone know of any organization that have massive stockpile of money that could be super useful to the world during a public crisis,1
wow bdubs can bench press 150 kilometer,1
nothing scream im a glamorous cosmopolitan woman like follow your dog down the street in the midst of winter say go potty go potty over and over again,1
hear a rumor that baja blast be come to store and regardless if anything else i hope for in life fall through at least ill have this,1
reviewer 2 this be a very weak paper that fail proof of concept state a cat bed be also a wizard hat be totally wrong and your data cannot support this,1
a wrong impression be once again my specialty,1
if tree would simply stop produce flammable leaf climate change would not be an issue,1
havent write in month cuz there be no male teacher to impress 😣,1
hey quick question be it fall or spring,1
when the toilet seat be warm up for you gt gt gt,1
nice,1
me and noah forgot that today be our anniversary if that isnt couple goal then idk what be 😌,1
i cant wait to hear more about the life of an upper middle class east asian american whose only personality trait be drink boba tea,1
hey whats the weather like today be i go to need an umbrella,1
try to figure out how to use notion for my anime list i think im die,1
do you think anyone on bachelor in paradise have see oscar winner parasite,1
your pronoun be whats in your pant ok juicy dumper,1
it so amazing how people forget you exist until they want something from you,1
2 thing i love 1 be wake up by construction work an hour before my alarm 2 sarcasm,1
how bout you dont use a gazillion filter on your picture,1
finish the queen gambit i love a look into the 1960s in the american south with no racism just vibe,1
wow it almost like we dont nap every single day at the exact same time wow how dare i try to do the thing we do every single day,1
nah bruh you just drink it upside down 😂,1
easily one of the bad and most damaging take for both trans and cis woman i have see thus far congrats on reach new level of awful lmao,1
i thing you might be on to somethink 🙄,1
here come the final of the uk #dailybriefing who will win johnson or covid,1
youre not a normal white girl lol ok,1
great time for sim and i to have our weekly life update 🌛🌜🐨 close thing to an owl 💤💤💤💤💤😴,1
i love when you go to shop for plus size clothing and it always just shove under woman and it doesnt have any subcategories so u just have to wade thru everything like a pig be throw slop,1
youve a book out i hadnt realise yes youve already read this 8763 time this week but hey,1
hahahah be shut down the entire campus for quarantine couldnt happen to a nice group of covid denier #covidisnotover #karmaisabitch #covid 19,1
