text,labels
whew ... that extra <num> miles today to the grocery store & back wore me out .  so why are you using a car ? # mymostepsup emoji_92 emoji_549 emoji_818 emoji_3231,1
""" oh , good . now no one will know we 're here . "" # remingtonsteele # piercebrosnan  # delivery # jackscalia # stephaniezimbalist emoji_1594",1
how much of it you think is true ? has this become real ? well today 's food for brain . # thoughts  # insta # education # redalert,1
<user> finally found proof that the earth is flat ,1
many ways to overcome tension & fear but nothing clicks at the time of need haha  emoji_15,1
# conformity is # stupid ! # individuality  # satire # funny # webcomic by erica crooks # ericacrooks # darkcomedy # society # lol # idiot,1
be different . # joker # darkknight # batman # batmanandharleyquinn # jokerandharley # heathledger # movie # memes # moviememes  ,1
"defination of maturity , cry silently , wipe your tears and smile back # factfactory # meme # memes  # noonecares # fact # facts emoji_3006 emoji_1651 emoji_2665",1
"sharon to christine : "" oh great , water . i feel soooo relaxed now ! "" # yr ",1
damn . i might start driving for lyft ,1
"ha we all wish , right ? ! # gymlife  # fitmom # workingmom # momlife # lesgetto ed",1
"when this game ends , time to change channel for some good news .  emoji_509",1
this storm means business . this is going to be fun to drive in ...  # yikes # hugethunderstorm fun emoji_4780 emoji_2007,1
what we will get with <user> # absolutelybarbaric ,1
""" where you get that tape up homie ? ? ! ! "" # cornyjokes # realtalk # relationshiphumor # itsjustjokespeople  # laugh …",1
it 's apparent that <user> has let himself go during the off-season .  # dudeisjacked,1
have you spell checked yet ? # grammar ,1
when you hotel just knows you  <user> # salouvintage,1
nice job gfs with the high today from the saturday am run . glad i threw you out  # arwx,1
"janeausten , i mean , c 'mon ! wat did she do with her life xcept write a few lousy lines . without her books , wat did she do ? nothing . ",1
can you believe this woman ? first text in nearly <num> hours and all she can talk about is food ? # gfproblems ,1
it 's a great day to be ! i just can 't wait to relax on the dock this summer when it 's 50celcius # climatechange # springinfebruary  emoji_5253,1
"i wish i had better seats for <user> tonight , i can 't even see him ! # invisibleman  # cannotwait",1
i can 't get over how much it rains here . # costarica # tropicalrainforrest ,1
"port authority : <num> million people , one working women 's room . well done .  # portauthority",1
<user> really getting creative with their new kits . ,1
if this is from <user> it must be true .  # fakenews,1
who killed # nancyreagan ?  # nochill # politics # satire # elections2016 # racistsfortrump # hillarysoprogressive,1
that will never happen ... ,1
news i just got . this month just gets better and better . ,1
when i draw mandala ...  # funny,1
( chapter 17 ): love getting kicked out of bars ! !  # soannoying,1
moving is so much fun  # intended,1
hey <user> guys ! look at my new # nintendoswitch it fits so nicely in the big empty gap between my wii u & wii !  # wheresmyswitch,1
how to be a <user> fan starting pack : ( totally me )  # declan # declanmckenna # love # converse,1
how my <num> year old aunt communications with me . such a deep meaningful conversation  # comm4261,1
my hometown  # funny,1
im savage this was epic # funny   # chat l # funnyquotes # justinbieber # djkhaled # imtheone # theone # music # song # singer emoji_15 emoji_15,1
can 't have family without so many happy people . ,1
# bestpartofthe90swas when the clintons filled the white house with wall street allies . ,1
i was followed by <user> . imagine my dismay when i learned i ’ m not the only one they follow . # sadpanda  # lol,1
